Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
Kroger Pharmacy 487,Appling,0,0,1300,"200"
Lifeline Primary Care,Appling,975,0,6500,"200"
Ridgeview Institute-monroe,Appling,0,0,1400,"400"
Sandersville Drug Co,Appling,0,0,400,"0"
terese inc dba peach orchard drugs,Appling,975,0,0,"0"
walgreens 11348,Appling,0,0,0,"0"
walgreens 5446,Appling,0,0,0,"0"
walmart store 5392,Appling,0,0,0,"0"
Atkinson Co Health Department,Atkinson,0,0,1500,"1500"
south central family medicine pearson,Atkinson,0,0,900,"100"
Bacon County Health Department,Bacon,0,0,1200,"1300"
carver drug company,Bacon,975,0,1100,"0"
fresenius kidney care alma,Bacon,0,0,0,"0"
lamars pharmacy,Bacon,0,0,300,"0"
Baker County Health Department,Baker,0,0,1100,"1400"
Baldwin County Health Department,Baldwin,0,0,3400,"1500"
Bostick Nursing Center,Baldwin,0,0,0,"200"
Central State Hospital,Baldwin,0,0,1100,"900"
community health care system inc baldwi,Baldwin,0,0,0,"0"
Dialysis Center Of Milledgeville,Baldwin,0,0,100,"0"
georgia college state,Baldwin,0,0,0,"0"
Hm Drugs,Baldwin,0,0,800,"0"
Kroger Pharmacy 01100694,Baldwin,0,0,1300,"300"
Medical Arts Pharmacy,Baldwin,0,0,2200,"600"
Middle Georgia Correctional Complex Pharmacy,Baldwin,0,0,700,"500"
walmart 1121,Baldwin,0,0,0,"0"
Banks County Health Department,Banks,0,0,6900,"1700"
Homer Drugs Llc,Banks,975,0,2000,"600"
meadows surgical arts inc,Banks,0,0,0,"0"
Medlink Georgia - Banks,Banks,0,0,300,"400"
Barrow County Health Dept,Barrow,0,0,3000,"600"
Farmer's Prescription Shop,Barrow,0,0,1400,"500"
"Health Associates Of Georgia, Inc.",Barrow,1950,975,5000,"1700"
Ingles Pharmacy #451,Barrow,0,0,1000,"700"
Ingles Pharmacy #57,Barrow,0,0,1000,"700"
ivydale wellness center llc,Barrow,975,0,100,"0"
Medlink Georgia Winder,Barrow,0,0,600,"700"
Ngpg Auburn Primary Care,Barrow,0,0,1100,"200"
Ngpg Family Health Associates,Barrow,0,0,500,"0"
Ngpg Gateway Exchange,Barrow,0,0,200,"0"
Publix Pharmacy#0108,Barrow,0,0,1000,"300"
Publix Pharmacy#0480,Barrow,0,0,1200,"500"
Publix Pharmacy#1251,Barrow,0,0,1000,"300"
walgreens 12726,Barrow,0,0,0,"0"
walmart store 520,Barrow,0,0,0,"0"
winder health care and rehab,Barrow,0,0,0,"0"
Adairsville Drug,Bartow,0,0,2400,"200"
Bartow County Health Department,Bartow,0,0,21800,"6700"
Bartow Family Health Center,Bartow,0,0,100,"0"
Cartersville Medical Center,Bartow,0,0,2000,"2500"
Family Care Of Cartersville,Bartow,0,0,1000,"200"
fords pharmacy llc,Bartow,0,0,0,"0"
highlands senior living,Bartow,0,0,0,"0"
Ingles Pharmacy #483,Bartow,0,0,1000,"700"
Ingles Pharmacy #76,Bartow,0,0,1000,"700"
Kroger Pharmacy 01100629,Bartow,0,0,1400,"400"
Publix Pharmacy#0554,Bartow,0,0,1000,"200"
The Family Medicine Clinic,Bartow,0,0,300,"100"
walgreens 15180,Bartow,0,0,0,"0"
walgreens 17686,Bartow,0,0,0,"0"
walmart store 615,Bartow,0,0,0,"0"
West End Pharmacy,Bartow,0,0,7900,"1200"
Ben Hill County Health Department,Ben Hill,0,0,3400,"2600"
Dorminy Medical Center,Ben Hill,0,0,6000,"1000"
walmart store 686,Ben Hill,0,0,0,"0"
Berrien County Health Dept,Berrien,0,0,2100,"1700"
Berrien County Hospital,Berrien,0,0,200,"200"
betty dupree healthcare center,Berrien,0,0,900,"400"
aramacon dialysis center llc,Bibb,0,0,0,"0"
Coliseum Medical Center,Bibb,975,0,2200,"2200"
coliseum ped adol care inc,Bibb,0,0,0,"0"
community health care systems inc,Bibb,0,0,0,"0"
Dialysis Center Of Macon,Bibb,0,0,100,"0"
East Macon Dialysis Center,Bibb,0,0,100,"0"
Family Care Of Middle Georgia(Formerly Macon Pediatrics) Bibb,0,0,3200,"400",NA
feet first podiatry llc,Bibb,0,0,0,"0"
First Choice Primary Care,Bibb,0,0,1200,"1300"
Georgia Arrhythmia Consultants And Resea,Bibb,0,0,400,"0"
"Internal Medicine Associates, Pc",Bibb,0,0,800,"0"
Iv Care Options,Bibb,0,0,300,"100"
Kroger Pharmacy 01100328,Bibb,0,0,1300,"400"
Kroger Pharmacy 01100355,Bibb,0,0,1300,"300"
Kroger Pharmacy 01100378,Bibb,0,0,1200,"200"
Kroger Pharmacy 01100400,Bibb,0,0,1400,"500"
Kroger Pharmacy 01100411,Bibb,0,0,1300,"200"
Kroger Pharmacy 01100425,Bibb,0,0,1300,"300"
Macon-bibb County Health Dept,Bibb,0,0,9800,"4400"
macon southside dialysis center,Bibb,0,0,0,"0"
mga health clinicmiddle ga state univer,Bibb,0,0,200,"0"
middle georgia heart vascular llc,Bibb,0,0,0,"0"
Navicent Health,Bibb,12675,4700,25500,"8650"
Nchd District Office,Bibb,0,0,10000,"700"
Nightingale Infusion,Bibb,2925,1950,500,"200"
piedmont orthopedics,Bibb,0,0,0,"0"
powells bloomfield pharmacy,Bibb,0,0,0,"0"
Publix Pharmacy #1700,Bibb,0,0,1200,"500"
Publix Pharmacy#1263,Bibb,0,0,1000,"400"
"Regency Hospital Company Of Macon, Llc",Bibb,0,0,400,"200"
Renal Physicians Of Ga,Bibb,0,0,900,"500"
sams club store 8225,Bibb,0,0,0,"0"
Southern Primary Care,Bibb,0,0,300,"0"
tlc of georgia llc the little clinic har,Bibb,0,0,0,"0"
U Save It Pharmacy - Macon,Bibb,0,0,900,"400"
Walgreens #10634,Bibb,0,0,800,"0"
walgreens 6560,Bibb,0,0,0,"0"
walmart 1076,Bibb,0,0,0,"0"
walmart 1153,Bibb,0,0,0,"0"
walmart store 2890,Bibb,0,0,0,"0"
Wesleyan College,Bibb,975,0,1400,"100"
your corner drug store llc,Bibb,0,0,500,"0"
your doctors immediate care,Bibb,0,0,0,"0"
Bleckley County Health Dept,Bleckley,0,0,2500,"2800"
Bleckley Memorial Hospital,Bleckley,0,0,600,"900"
walmart store 7246,Bleckley,0,0,0,"0"
Brantley County Health Department,Brantley,0,0,1600,"1400"
Brooks County Health Dept New,Brooks,0,0,2300,"1700"
Lee And Pickels Drugs,Brooks,0,0,700,"200"
Lee And Pickels Pharmacy,Brooks,0,0,900,"400"
Primary Care Of Southwest Georgia Quitman,Brooks,0,0,100,"200"
Bedingfield Pharmacy,Bryan,0,0,800,"300"
Bryan County Health Department - Pembroke,Bryan,0,0,2800,"1900"
Bryan County Health Department - Richmond Hill,Bryan,0,0,2300,"2500"
cvs pharmacy 7783,Bryan,0,0,0,"0"
Kroger Pharmacy 688,Bryan,0,0,1300,"200"
Publix Pharmacy#1154,Bryan,0,0,1900,"600"
Richmond Hill Pharmacy,Bryan,0,0,5500,"300"
southcoast health pediatrics,Bryan,0,0,0,"0"
southern hometown pharmacy,Bryan,0,0,0,"0"
Walgreens #10506,Bryan,0,0,800,"0"
Bulloch County Health Department,Bulloch,0,0,9300,"4200"
Bulloch Wellness Center,Bulloch,0,0,1000,"900"
East Georgia Regional Medical Center,Bulloch,0,0,6800,"2200"
Family Health Care Center,Bulloch,0,0,6000,"100"
Forest Heights Pharmacy,Bulloch,0,0,3500,"1700"
Georgia Southern University Student Health Services,Bulloch,0,0,2400,"200"
guardian pharmacy of se ga,Bulloch,0,0,0,"0"
Internal Medicine Associates Of Statesbo,Bulloch,0,0,1300,"0"
Mccook Pharmacy Inc,Bulloch,5850,0,35800,"1400"
Medical Center Pharmacy,Bulloch,0,0,1300,"500"
Nightingale Infusion,Bulloch,2925,0,500,"200"
office of dr elizabeth l penn,Bulloch,0,0,0,"0"
Pooler Pharmacy,Bulloch,0,0,1000,"0"
Southeast Pharmacy,Bulloch,0,0,1000,"0"
Statesboro Pediatrics And Family Healthcare Center Inc,Bulloch,0,0,3500,"700"
statesboro urgent care,Bulloch,0,0,0,"0"
The Prescription Shop,Bulloch,0,0,1800,"1100"
Total Health,Bulloch,0,0,1500,"900"
Victoria Family Practice,Bulloch,0,0,200,"0"
walker pharmacy and boutique,Bulloch,0,0,0,"0"
walmart store 2858,Bulloch,0,0,0,"0"
walmart store 754,Bulloch,0,0,0,"0"
Willingway Hospital,Bulloch,0,0,500,"0"
Burke County Health Department,Burke,0,0,4200,"3300"
Burke Medical Center,Burke,0,0,1300,"700"
Medical Specialist Inc,Burke,0,0,26100,"500"
walgreens 12107,Burke,0,0,0,"0"
Walmart Store 2754,Burke,0,0,1000,"800"
Butts County Health Department,Butts,0,0,3700,"2900"
Eagles Landing Family Practice,Butts,0,0,1800,"300"
moyes pharmacy jackson,Butts,0,0,1000,"0"
Calhoun County Health Department,Calhoun,0,0,1000,"1400"
forsyth county employee health wellnes,Calhoun,0,0,0,"0"
Lane Drug Co.,Calhoun,1950,0,3700,"700"
re jennings clinic,Calhoun,0,0,0,"0"
Camden County Health Department St. Marys,Camden,0,0,3300,"2100"
Camden County Health Department Woodbine,Camden,0,0,3100,"2000"
fresenius kidney care kingsland,Camden,0,0,0,"0"
Nightingale Infusion,Camden,2925,1950,600,"200"
Publix Pharmacy#0455,Camden,0,0,1600,"500"
"Southeast Georgia Health System, Camden Campus",Camden,5850,975,2800,"800"
walmart store 836,Camden,0,0,0,"0"
Candler County Health Department,Candler,0,0,1200,"1100"
"Candler County Hospital, Candler Medical Group",Candler,3900,0,2400,"1000"
"Candler Pharmacy, Pc",Candler,0,0,700,"500"
Ihs Pharmacy & Gifts,Candler,0,0,700,"600"
ihs pharmacy 1,Candler,0,0,2100,"0"
metter pharmacy,Candler,975,0,1000,"0"
Carroll County Health Department,Carroll,0,0,6000,"5500"
georgia cataract eye specialty center,Carroll,0,0,0,"0"
Ingles Pharmacy #405,Carroll,0,0,1200,"900"
Kroger Pharmacy 01100367,Carroll,0,0,1400,"200"
Publix Pharmacy#0608,Carroll,0,0,1200,"700"
site 2 150 clinic drive carrollton,Carroll,0,0,0,"0"
Southwire Family Medical Center,Carroll,0,0,700,"400"
state university of west georgia health,Carroll,0,0,1000,"0"
Tanner Medical Center-carrollton,Carroll,9750,5850,3000,"1200"
Tanner Medical Center-villa Rica,Carroll,3900,3900,3000,"1200"
the apothecary shoppe pharmacy,Carroll,0,0,400,"0"
tlc of georgia llc the little clinic car,Carroll,0,0,0,"0"
walgreens 11491,Carroll,0,0,0,"0"
walgreens 12945,Carroll,0,0,0,"0"
walgreens 7820,Carroll,0,0,0,"0"
Walmart Store 2732,Carroll,0,0,1100,"600"
walmart store 722,Carroll,0,0,0,"0"
west georgia cardiology associates pc,Carroll,0,0,0,"0"
Yourtown Health Carrollton,Carroll,0,0,200,"300"
catoosa county employee clinic,Catoosa,0,0,0,"0"
Catoosa County Health Department,Catoosa,0,0,21700,"7200"
Chi Memorial Hospital- Georgia,Catoosa,3900,975,200,"500"
dialysis clinic incft oglethorpe,Catoosa,0,0,100,"0"
Food City Pharmacy #214,Catoosa,0,0,100,"0"
Food City Pharmacy #249,Catoosa,0,0,500,"0"
North Georgia Healthcare Center,Catoosa,0,0,5300,"700"
Price Ringgold Drug,Catoosa,0,0,1500,"0"
Publix Pharmacy #1641,Catoosa,0,0,1300,"700"
walmart store 1458,Catoosa,0,0,0,"0"
walmart store 3635,Catoosa,0,0,0,"0"
bennetts hometown pharmacy llc,Charlton,0,0,400,"0"
Charlton County Health Department,Charlton,0,0,1100,"1500"
Encompass Health Rehabilitation Hospital Of Savannah,Charlton,0,0,200,"200"
Folkston Ice Processing Center,Charlton,0,0,100,"100"
Apollo Pharmacy,Chatham,0,0,3000,"100"
apollo pharmacy 2,Chatham,0,0,2000,"0"
Bcg Medical Group,Chatham,0,0,4500,"700"
"Braun Internal Medicine, P.C.",Chatham,0,0,200,"0"
candler skilled nursing unit,Chatham,0,0,0,"0"
chatham care center,Chatham,0,0,0,"0"
Chatham County Health Department- Eisenhower,Chatham,30225,27300,10200,"8900"
Chatham County Health Department - Midtown,Chatham,0,2925,400,"800"
chatham emergency services,Chatham,0,0,0,"0"
coastal harbor treatment center,Chatham,0,0,0,"0"
Compounding Solutions Of Savannah,Chatham,0,0,2600,"900"
Curtis V Cooper Primary Health Care Inc,Chatham,0,0,2400,"1500"
Ear Nose And Throat Associates Of Savannah,Chatham,0,0,900,"0"
epps medical associates,Chatham,0,0,200,"0"
Express Drugs Savannah Pharmacy,Chatham,0,0,1000,"0"
genoa a qol healthcare company llc s,Chatham,0,0,0,"0"
georgetown drug company,Chatham,0,0,500,"0"
georgia regional hospital savannah,Chatham,0,0,0,"0"
georgia southern health servicesarmstro,Chatham,0,0,400,"0"
"Hospice Savannah, Inc.",Chatham,0,0,4500,"100"
"Internal Medicine Of Savannah, Llc",Chatham,0,0,800,"600"
J.C. Lewis Primary Health Care Center,Chatham,975,0,2300,"300"
janus rx llc,Chatham,0,0,0,"0"
jeffrey p schyberg md,Chatham,0,0,800,"0"
Kroger Pharmacy 01100697,Chatham,0,0,1200,"100"
Kroger Pharmacy 418,Chatham,0,0,1300,"300"
Kroger Pharmacy 460,Chatham,0,0,1500,"200"
Kroger Pharmacy 609,Chatham,0,0,1300,"100"
Kroger Pharmacy 645,Chatham,0,0,1400,"200"
Kroger Pharmacy 979,Chatham,0,0,1300,"800"
Lo Cost Pharmacy,Chatham,14625,975,4800,"1000"
maria jauhar group md,Chatham,0,0,0,"0"
Memorial Health University Medical Center,Chatham,16575,10725,10000,"3300"
memorial physician practice group,Chatham,0,0,0,"0"
my nurse now,Chatham,0,0,200,"0"
nightingale infusion inc,Chatham,2925,1950,500,"700"
Nightingale Infusion Inc.,Chatham,3900,1950,600,"200"
Nightingale Pharmacy,Chatham,975,975,300,"300"
Optim Healthcare - Employee Health,Chatham,0,0,900,"600"
Publix Pharmacy #1584,Chatham,0,0,1100,"400"
Publix Pharmacy#0456,Chatham,0,0,1000,"300"
Publix Pharmacy#0521,Chatham,0,0,1700,"700"
Publix Pharmacy#0522,Chatham,0,0,1000,"300"
Publix Pharmacy#1186,Chatham,0,0,1400,"600"
Publix Pharmacy#1256,Chatham,0,0,1000,"300"
Publix Pharmacy#1364,Chatham,0,0,1400,"400"
sams club store 4820,Chatham,0,0,0,"0"
sams club store 8202,Chatham,0,0,0,"0"
savannah college of art and design,Chatham,0,0,0,"0"
Select Specialty Hospital - Savannah,Chatham,0,0,100,"100"
Sjc Urgent Care,Chatham,0,0,1600,"300"
South East Lung & Critical Care,Chatham,975,0,1700,"0"
Southcoast Health,Chatham,0,0,20000,"2800"
southcoast pediatric center,Chatham,0,0,0,"1000"
St. Joseph's/Candler Health System,Chatham,17550,15600,1700,"1100"
St. Joseph'S/Candler Urgent Care,Chatham,0,0,1100,"200"
state drug testing occupational health,Chatham,0,0,0,"0"
Village Walk Pharmacy,Chatham,16575,4400,5400,"1200"
walgreens 15611,Chatham,0,0,0,"0"
Walgreens #10635,Chatham,0,0,800,"0"
walgreens 11538,Chatham,0,0,0,"0"
walgreens 2171,Chatham,0,0,0,"0"
walgreens 5368,Chatham,0,0,0,"0"
walgreens 6098,Chatham,0,0,0,"0"
walmart store 2860,Chatham,0,0,0,"0"
walmart store 4530,Chatham,0,0,0,"0"
walmart store 4556,Chatham,0,0,0,"0"
walmart store 605,Chatham,0,0,0,"0"
walmart store 635,Chatham,0,0,0,"0"
walmart store 6592,Chatham,0,0,0,"0"
Chattahoochee County Health Department,Chattahoochee,0,0,2700,"1200"
Chattooga County Health Department,Chattooga,0,0,11000,"4700"
Primary Healthcare Center Of Chattooga,Chattooga,0,0,100,"200"
Trion Drugs,Chattooga,0,0,900,"400"
walmart store 756,Chattooga,0,0,0,"0"
Ball Ground Pharmacy,Cherokee,0,0,300,"0"
Canton Primary Care,Cherokee,0,0,1200,"100"
Cherokee County Fire & Emergency Services,Cherokee,1950,0,2000,"900"
Cherokee County Health Department,Cherokee,0,0,19400,"2900"
Cherokee County Health Department-woodstock,Cherokee,0,0,33600,"13000"
cvs 7888,Cherokee,0,0,0,"0"
Fresenius Woodstock Dialysis,Cherokee,0,975,400,"200"
"Georgia Highland Medical Services, Inc.",Cherokee,0,0,300,"100"
Invictus Clinic Llc,Cherokee,0,0,1000,"100"
Kroger Pharmacy 01100291,Cherokee,0,0,1400,"0"
Kroger Pharmacy 01100402,Cherokee,0,0,1400,"200"
Kroger Pharmacy 01100408,Cherokee,0,0,1300,"400"
Kroger Pharmacy 01100419,Cherokee,0,0,1400,"300"
Kroger Pharmacy 01100430,Cherokee,0,0,1500,"400"
Kroger Pharmacy 01100463,Cherokee,0,0,1800,"100"
Kroger Pharmacy 01100680,Cherokee,0,0,1300,"200"
Northside Hospital Cherokee,Cherokee,39000,11700,34200,"2400"
Northside Pediatrics And Adol Medicine,Cherokee,0,0,300,"200"
Pharmoore Pharmacy,Cherokee,0,0,15000,"2400"
Publix Pharmacy#0042,Cherokee,0,0,1400,"500"
Publix Pharmacy#0463,Cherokee,0,0,1000,"200"
Publix Pharmacy#0624,Cherokee,0,0,1400,"500"
Publix Pharmacy#0636,Cherokee,0,0,1400,"500"
Publix Pharmacy#0694,Cherokee,0,0,1000,"200"
Publix Pharmacy#0711,Cherokee,0,0,1000,"200"
Publix Pharmacy#1064,Cherokee,0,0,1400,"400"
Publix Pharmacy#1248,Cherokee,0,0,1400,"400"
walgreens 7340,Cherokee,0,0,0,"0"
walgreens 7396,Cherokee,0,0,0,"0"
walgreens 9749,Cherokee,0,0,0,"0"
walgreens 9981,Cherokee,0,0,0,"0"
walmart 5275,Cherokee,0,0,0,"0"
walmart store 518,Cherokee,0,0,0,"0"
walmart store 575,Cherokee,0,0,0,"0"
walmart store 5814,Cherokee,0,0,0,"0"
walmart store 8158,Cherokee,0,0,0,"0"
Woodstock Family Practice & Urgent Care,Cherokee,0,0,4000,"100"
Woodstock Pharmacy,Cherokee,0,0,12300,"1700"
woodstock primary care,Cherokee,0,0,100,"0"
Add Drug,Clarke,0,0,700,"200"
athens east dialysis,Clarke,0,0,400,"0"
Athens Geriatrics And Internal Medicine,Clarke,975,0,100,"0"
Athens Neighborhood Health Center,Clarke,0,0,900,"800"
athens neighborhood health centerhilsma,Clarke,0,0,0,"0"
Athens Pulmonary And Critical Care,Clarke,0,0,1400,"0"
athens renal center,Clarke,0,0,0,"0"
Benzer Pharmacy Athens Llc,Clarke,0,0,1600,"100"
"Boulevard Family Practice, P.C.",Clarke,0,0,300,"100"
buy wise pharmacy,Clarke,0,0,0,"0"
Center For Vaccines And Immunology,Clarke,975,0,500,"100"
Clarke County Health Department,Clarke,14625,12675,18000,"6800"
clarke county specialty care,Clarke,0,0,0,"0"
Clarke Oconee Family Medicine,Clarke,0,0,2100,"200"
dewitt and chisolm llc,Clarke,0,0,700,"0"
Elbert Memorial Hospital,Clarke,0,0,2800,"1700"
ent of athens,Clarke,0,0,0,"0"
Hawthorne Drug Co.,Clarke,0,0,1400,"400"
Hodgson's Pharmacy,Clarke,975,0,3200,"100"
Hortons Drugstore,Clarke,0,0,10200,"1100"
Innovative Health Care Institute,Clarke,15600,0,3000,"100"
Kroger Pharmacy 01100255,Clarke,0,0,1500,"300"
Kroger Pharmacy 01100428,Clarke,0,0,1500,"300"
Kroger Pharmacy 01100435,Clarke,0,0,1600,"500"
Kroger Pharmacy 01100618,Clarke,0,0,2000,"200"
Landmark Hospital Of Athens,Clarke,0,0,400,"300"
Mercy Health Center,Clarke,0,0,400,"0"
Piedmont Athens Regional Medical Center,Clarke,14625,9750,0,"0"
premise healthboehringer ingelheim athe,Clarke,0,0,0,"0"
pruitthealth grandview,Clarke,0,0,0,"0"
Publix Pharmacy#0451,Clarke,0,0,1000,"200"
Publix Pharmacy#1146,Clarke,0,0,1400,"400"
Sams Club Store 8194,Clarke,0,0,1500,"300"
St. Mary's Hospital,Clarke,2925,1375,4000,"2200"
Surgery Center Of Athens,Clarke,0,0,3400,"400"
the little clinic of ga hwy 29,Clarke,0,0,0,"0"
University Cancer & Blood Center Llc,Clarke,14625,4875,1700,"400"
University Health Center; University Of Georgia,Clarke,5850,1950,6700,"1400"
Village Drug Shop,Clarke,0,0,800,"0"
Village Drug Shop At Advantage,Clarke,0,0,300,"0"
walgreens 12886,Clarke,0,0,0,"0"
walgreens 17791,Clarke,0,0,0,"0"
walgreens 7134,Clarke,0,0,0,"0"
walmart store 2811,Clarke,0,0,0,"0"
walmart store 5267,Clarke,0,0,0,"0"
Women's Healthcare Associates,Clarke,0,0,200,"200"
Clay County Health Department,Clay,0,0,2500,"1500"
Clay County Medical Center,Clay,0,0,500,"600"
Ameripro Ems,Clayton,0,0,200,"100"
Care Plus Family Medicine Riverdale,Clayton,0,0,200,"0"
Christians Pharmacy,Clayton,975,0,3200,"500"
Clayton County Board Of Health,Clayton,3900,4875,0,"2600"
Clayton County Fire And Ems,Clayton,1950,975,2500,"700"
Clayton State University,Clayton,4875,0,1200,"600"
concentra medical centers moreland,Clayton,0,0,800,"0"
fresenius medical carejonesboro,Clayton,0,0,0,"0"
heartland healthcare,Clayton,0,0,0,"0"
instant care ems,Clayton,0,0,0,"0"
Kroger Pharmacy 01100319,Clayton,0,0,1400,"300"
Kroger Pharmacy 01100373,Clayton,0,0,1300,"300"
Kroger Pharmacy 01100413,Clayton,0,0,1300,"400"
Kroger Pharmacy 01100492,Clayton,0,0,1300,"300"
morrow,Clayton,0,0,0,"0"
Morrow Fire Department,Clayton,0,0,800,"300"
parkway medical clinic,Clayton,0,0,500,"0"
premier family wellness center,Clayton,0,0,200,"0"
Publix Pharmacy#0461,Clayton,0,0,1400,"900"
saigon pharmacare,Clayton,0,0,2500,"0"
Southern Regional Medical Center,Clayton,0,4875,0,"1000"
trustee drugs and medical supplies,Clayton,0,0,100,"0"
Unity Health Clinic,Clayton,0,0,5200,"600"
walgreens 11758,Clayton,0,0,0,"0"
walgreens 6897,Clayton,0,0,0,"0"
walgreens 9271,Clayton,0,0,0,"0"
walmart 1047,Clayton,0,0,0,"0"
walmart store 3609,Clayton,0,0,0,"0"
walmart store 5363,Clayton,0,0,0,"0"
walmart store 787,Clayton,0,0,0,"0"
wellspring medical center,Clayton,975,0,200,"0"
Clinch County Health Department,Clinch,0,0,1600,"1300"
Clinch Memorial Hospital,Clinch,0,0,7300,"1400"
about you family medicine,Cobb,0,0,0,"0"
acworth community health center,Cobb,0,0,0,"0"
Acworth Primary Healthcare,Cobb,0,0,1700,"100"
Anytime Md Urgent Care,Cobb,0,0,300,"300"
atlanta allergy asthma clinic,Cobb,0,0,3500,"0"
City Of Marietta,Cobb,0,0,1200,"100"
Clinica Union,Cobb,0,0,300,"300"
Cobb County Fire & Emergency Services,Cobb,6825,2925,900,"900"
cobb internal medicne,Cobb,0,0,600,"0"
cobb pediatric associates,Cobb,0,0,0,"0"
Cobbmedical Clinic,Cobb,0,0,100,"0"
"Cowry Medical Group, Llc",Cobb,975,0,300,"100"
cvs 4522,Cobb,0,0,0,"0"
cvs 4740,Cobb,0,0,0,"0"
cvs 6106,Cobb,0,0,0,"0"
Devereux Advanced Behavioral Health,Cobb,0,0,900,"500"
Due West Pharmacy,Cobb,0,0,11100,"2000"
east cobb oral surgery,Cobb,0,0,0,"0"
East Marietta Drugs,Cobb,0,0,11900,"1700"
family healthcare of smyrna,Cobb,0,0,0,"0"
fresenius medical care east marietta,Cobb,0,0,200,"0"
ga dept of public health,Cobb,0,68250,0,"15000"
genoa healthcare 20290,Cobb,0,0,0,"0"
Good Samaritan Health Center Of Cobb,Cobb,0,0,700,"800"
Guardian Pharmacy Of Atlanta,Cobb,0,0,1000,"100"
Innovation Compounding,Cobb,0,0,10000,"1700"
iora primary care marietta,Cobb,0,0,0,"0"
K And Y Pharmacy,Cobb,0,0,400,"0"
Kennesaw Pharmacy,Cobb,0,0,5500,"400"
Kennestone Family Medicine,Cobb,0,0,2600,"800"
"Kennestone Hospital, Inc.",Cobb,11700,3900,10000,"1500"
Kroger Pharmacy 01100330,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100335,Cobb,0,0,1300,"300"
Kroger Pharmacy 01100356,Cobb,0,0,1400,"0"
Kroger Pharmacy 01100365,Cobb,0,0,1400,"700"
Kroger Pharmacy 01100397,Cobb,0,0,1400,"300"
Kroger Pharmacy 01100442,Cobb,0,0,1400,"300"
Kroger Pharmacy 01100446,Cobb,0,0,1400,"400"
Kroger Pharmacy 01100453,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100454,Cobb,0,0,1500,"200"
Kroger Pharmacy 01100455,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100456,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100461,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100464,Cobb,0,0,1400,"200"
Kroger Pharmacy 01100478,Cobb,0,0,1300,"300"
Kroger Pharmacy 01100498,Cobb,0,0,1100,"400"
Kroger Pharmacy 01100699,Cobb,0,0,1500,"400"
kroger pharmacy 657,Cobb,0,0,1300,"0"
Kuraoka Clinic,Cobb,975,0,1500,"0"
Lacey's Ltc Pharmacy,Cobb,0,0,2500,"500"
Lacey's Marietta Pharmacy,Cobb,0,0,2100,"800"
Lacey Drug Company,Cobb,0,0,1800,"800"
